col1,col2,col3
"Jan 1, 2000",0.0,2000
"Jan 2, 2000",0.0,2000
"Jan 3, 2000",3.711,2000
"Jan 4, 2000",25.976,2000
"Jan 5, 2000",0.0,2000
"Jan 6, 2000",0.0,2000
"Jan 7, 2000",0.0,2000
"Jan 8, 2000",0.0,2000
"Jan 9, 2000",1.936,2000
"Jan 10, 2000",3.871,2000
"Jan 11, 2000",0.0,2000
"Jan 12, 2000",0.0,2000
"Jan 13, 2000",0.0,2000
"Jan 14, 2000",0.0,2000
"Jan 15, 2000",0.0,2000
"Jan 16, 2000",0.0,2000
"Jan 17, 2000",0.0,2000
"Jan 18, 2000",0.0,2000
"Jan 19, 2000",0.0,2000
"Jan 20, 2000",0.0,2000
"Jan 21, 2000",0.0,2000
"Jan 22, 2000",0.0,2000
"Jan 23, 2000",0.0,2000
"Jan 24, 2000",0.0,2000
"Jan 25, 2000",8.813,2000
"Jan 26, 2000",0.0,2000
"Jan 27, 2000",0.0,2000
"Jan 28, 2000",0.0,2000
"Jan 29, 2000",0.0,2000
"Jan 30, 2000",0.0,2000
"Jan 31, 2000",11.238,2000
"Feb 1, 2000",0.0,2000
"Feb 2, 2000",0.0,2000
"Feb 3, 2000",3.258,2000
"Feb 4, 2000",0.0,2000
"Feb 5, 2000",0.0,2000
"Feb 6, 2000",0.0,2000
"Feb 7, 2000",0.0,2000
"Feb 8, 2000",0.0,2000
"Feb 9, 2000",1.962,2000
"Feb 10, 2000",0.0,2000
"Feb 11, 2000",10.117,2000
"Feb 12, 2000",0.0,2000
"Feb 13, 2000",3.372,2000
"Feb 14, 2000",13.489,2000
"Feb 15, 2000",0.0,2000
"Feb 16, 2000",0.0,2000
"Feb 17, 2000",0.0,2000
"Feb 18, 2000",9.542,2000
"Feb 19, 2000",9.542,2000
"Feb 20, 2000",0.0,2000
"Feb 21, 2000",0.0,2000
"Feb 22, 2000",0.0,2000
"Feb 23, 2000",0.0,2000
"Feb 24, 2000",0.0,2000
"Feb 25, 2000",0.0,2000
"Feb 26, 2000",0.0,2000
"Feb 27, 2000",0.0,2000
"Feb 28, 2000",9.986,2000
"Feb 29, 2000",0.0,2000
"Mar 1, 2000",6.267,2000
"Mar 2, 2000",0.0,2000
"Mar 3, 2000",0.0,2000
"Mar 4, 2000",0.0,2000
"Mar 5, 2000",0.0,2000
"Mar 6, 2000",0.0,2000
"Mar 7, 2000",0.0,2000
"Mar 8, 2000",0.0,2000
"Mar 9, 2000",0.0,2000
"Mar 10, 2000",0.0,2000
"Mar 11, 2000",7.613,2000
"Mar 12, 2000",7.613,2000
"Mar 13, 2000",0.0,2000
"Mar 14, 2000",0.0,2000
"Mar 15, 2000",0.0,2000
"Mar 16, 2000",5.528,2000
"Mar 17, 2000",5.528,2000
"Mar 18, 2000",0.0,2000
"Mar 19, 2000",0.0,2000
"Mar 20, 2000",2.764,2000
"Mar 21, 2000",0.0,2000
"Mar 22, 2000",2.834,2000
"Mar 23, 2000",0.0,2000
"Mar 24, 2000",0.0,2000
"Mar 25, 2000",0.0,2000
"Mar 26, 2000",0.0,2000
"Mar 27, 2000",8.125,2000
"Mar 28, 2000",12.187,2000
"Mar 29, 2000",0.0,2000
"Mar 30, 2000",0.0,2000
"Mar 31, 2000",0.0,2000
"Apr 1, 2000",0.0,2000
"Apr 2, 2000",0.0,2000
"Apr 3, 2000",19.026,2000
"Apr 4, 2000",19.026,2000
"Apr 5, 2000",0.0,2000
"Apr 6, 2000",0.0,2000
"Apr 7, 2000",4.3,2000
"Apr 8, 2000",21.498,2000
"Apr 9, 2000",4.3,2000
"Apr 10, 2000",0.0,2000
"Apr 11, 2000",0.0,2000
"Apr 12, 2000",0.0,2000
"Apr 13, 2000",0.0,2000
"Apr 14, 2000",0.0,2000
"Apr 15, 2000",0.0,2000
"Apr 16, 2000",0.0,2000
"Apr 17, 2000",0.0,2000
"Apr 18, 2000",6.53,2000
"Apr 19, 2000",0.0,2000
"Apr 20, 2000",13.06,2000
"Apr 21, 2000",24.138,2000
"Apr 22, 2000",0.0,2000
"Apr 23, 2000",0.0,2000
"Apr 24, 2000",0.0,2000
"Apr 25, 2000",0.0,2000
"Apr 26, 2000",0.0,2000
"Apr 27, 2000",0.0,2000
"Apr 28, 2000",0.0,2000
"Apr 29, 2000",0.0,2000
"Apr 30, 2000",0.0,2000
"May 1, 2000",0.0,2000
"May 2, 2000",15.351,2000
"May 3, 2000",0.0,2000
"May 4, 2000",0.0,2000
"May 5, 2000",0.0,2000
"May 6, 2000",0.0,2000
"May 7, 2000",0.0,2000
"May 8, 2000",0.0,2000
"May 9, 2000",0.0,2000
"May 10, 2000",12.826,2000
"May 11, 2000",9.231,2000
"May 12, 2000",18.462,2000
"May 13, 2000",27.693,2000
"May 14, 2000",0.0,2000
"May 15, 2000",0.0,2000
"May 16, 2000",0.0,2000
"May 17, 2000",0.0,2000
"May 18, 2000",14.541,2000
"May 19, 2000",19.388,2000
"May 20, 2000",0.0,2000
"May 21, 2000",0.0,2000
"May 22, 2000",16.386,2000
"May 23, 2000",0.0,2000
"May 24, 2000",16.386,2000
"May 25, 2000",0.0,2000
"May 26, 2000",0.0,2000
"May 27, 2000",0.0,2000
"May 28, 2000",2.663,2000
"May 29, 2000",2.663,2000
"May 30, 2000",0.0,2000
"May 31, 2000",0.0,2000
"Jun 1, 2000",0.0,2000
"Jun 2, 2000",8.915,2000
"Jun 3, 2000",0.0,2000
"Jun 4, 2000",0.0,2000
"Jun 5, 2000",0.0,2000
"Jun 6, 2000",16.276,2000
"Jun 7, 2000",0.0,2000
"Jun 8, 2000",0.0,2000
"Jun 9, 2000",8.138,2000
"Jun 10, 2000",0.0,2000
"Jun 11, 2000",17.941,2000
"Jun 12, 2000",17.941,2000
"Jun 13, 2000",0.0,2000
"Jun 14, 2000",0.0,2000
"Jun 15, 2000",17.941,2000
"Jun 16, 2000",7.755,2000
"Jun 17, 2000",7.755,2000
"Jun 18, 2000",7.755,2000
"Jun 19, 2000",0.0,2000
"Jun 20, 2000",0.0,2000
"Jun 21, 2000",6.728,2000
"Jun 22, 2000",6.728,2000
"Jun 23, 2000",0.0,2000
"Jun 24, 2000",0.0,2000
"Jun 25, 2000",6.728,2000
"Jun 26, 2000",0.0,2000
"Jun 27, 2000",0.0,2000
"Jun 28, 2000",12.503,2000
"Jun 29, 2000",0.0,2000
"Jun 30, 2000",0.0,2000
"Jul 1, 2000",0.0,2000
"Jul 2, 2000",0.0,2000
"Jul 3, 2000",21.224,2000
"Jul 4, 2000",0.0,2000
"Jul 5, 2000",0.0,2000
"Jul 6, 2000",0.0,2000
"Jul 7, 2000",0.0,2000
"Jul 8, 2000",0.0,2000
"Jul 9, 2000",17.448,2000
"Jul 10, 2000",0.0,2000
"Jul 11, 2000",0.0,2000
"Jul 12, 2000",0.0,2000
"Jul 13, 2000",0.0,2000
"Jul 14, 2000",0.0,2000
"Jul 15, 2000",47.743,2000
"Jul 16, 2000",0.0,2000
"Jul 17, 2000",0.0,2000
"Jul 18, 2000",0.0,2000
"Jul 19, 2000",0.0,2000
"Jul 20, 2000",0.0,2000
"Jul 21, 2000",0.0,2000
"Jul 22, 2000",0.0,2000
"Jul 23, 2000",0.0,2000
"Jul 24, 2000",0.0,2000
"Jul 25, 2000",0.0,2000
"Jul 26, 2000",0.0,2000
"Jul 27, 2000",0.0,2000
"Jul 28, 2000",0.0,2000
"Jul 29, 2000",0.0,2000
"Jul 30, 2000",0.0,2000
"Jul 31, 2000",0.0,2000
"Aug 1, 2000",0.0,2000
